Date,Trial No.,Time (min),Forced,,,,Correct Choice,,,,Behavior,,,,,,,,,,Success %,Duplicate Values (Correct),Total Number of behavior,Daily Success%,Comments,,,,Day,Daily Success %,,,,,,,,,,,,,
,108,,6,2,5,7,3,1,4,8,1,4,7,3,5,8,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,109,,5,3,2,8,6,4,1,7,4,1,6,7,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,110,,4,6,1,5,7,3,8,2,3,8,3,7,2,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,111,,3,6,5,1,4,7,2,8,2,4,7,8,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,112,,5,7,4,1,3,6,8,2,6,3,2,5,8,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,113,,7,5,8,3,1,6,2,4,1,2,7,2,4,1,6,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,114,,7,2,4,8,6,5,3,1,1,3,6,4,3,5,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
16-Feb,115,,5,7,1,4,6,2,8,3,7,2,6,8,3,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,116,,3,1,5,7,4,8,2,6,4,6,2,8,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,117,,4,6,7,3,8,2,5,1,1,5,2,4,8,,,,,,80%,4,FALSE,,,,,,,,,,,,,,,,,,,,
,118,,4,6,1,7,3,2,8,5,3,5,8,2,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,119,,7,1,5,2,3,8,6,4,8,3,4,6,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,120,,3,5,2,8,6,4,1,7,4,7,1,3,5,6,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,121,,2,4,1,6,5,7,8,3,3,7,5,2,4,8,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,122,,4,8,3,7,1,2,6,5,1,2,5,6,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,123,,6,2,5,1,7,8,4,3,3,8,4,7,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,124,,5,2,4,6,7,8,3,1,1,3,4,7,8,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,125,,8,5,2,4,7,6,1,3,7,1,3,6,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,126,,6,4,1,8,3,2,5,7,2,5,7,3,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,127,,5,8,7,2,4,6,1,3,4,8,3,6,1,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,128,,3,1,4,8,6,2,5,7,5,7,2,6,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,129,,6,3,1,7,5,4,2,8,5,8,2,4,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,130,,7,3,8,2,4,6,1,5,5,1,6,3,7,4,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,131,,4,7,2,8,3,6,5,1,3,6,1,4,5,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,132,,3,6,4,2,5,7,8,1,5,8,1,7,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,133,,1,6,2,4,7,5,8,3,8,3,7,5,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,134,,6,8,3,1,7,2,4,5,5,2,7,4,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,135,,7,2,8,3,5,6,1,4,6,1,4,5,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,136,,4,8,2,6,3,1,5,7,1,5,7,3,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,137,,8,2,5,1,4,3,7,6,7,4,8,6,5,3,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
,138,,4,2,8,6,5,3,1,7,2,5,1,7,8,3,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
